Sigla;CO_IES;Facebook;Youtube;Twitter;Linkedin;Flickr;Instagram
IFTM;3165;http://facebook.com/iftm.edu;https://www.youtube.com/iftmoficial;https://twitter.com/iftmoficial;null;https://www.flickr.com/photos/iftmoficial/;https://www.instagram.com/iftmoficial/
IFTO;4786;http://facebook.com/iftooficial;http://youtube.com/iftocantins;https://twitter.com/iftooficial;null;null;http://instagram.com/ifto.oficial
UFABC;4925;https://facebook.com/ufabc;http://youtube.com/ufabcvideos;https://twitter.com/ufabc;https://www.linkedin.com/school/ufabc;null;https://www.instagram.com/ufabc/
UFAC;549;https://www.facebook.com/ufacoficial;https://www.youtube.com/ufactv;https://www.twitter.com/ufac_oficial;null;null;https://www.instagram.com/ufac_oficial
UFAL;577;http://www.facebook.com/ufaloficial;https://www.youtube.com/ufaloficial;http://www.twitter.com/ufaloficial;null;https://www.flickr.com/photos/ufaloficial/;http://www.instagram.com/ufaloficial
UFAM;4;https://www.facebook.com/tvufamoficial;https://www.youtube.com/channel/UCvepSIFR8p1E2sUbSwpJC0w;https://twitter.com/ufam_;null;https://www.flickr.com/photos/ufam/;https://www.instagram.com/ufam__/
UFAPE;25275;http://facebook.com/ufape.comunica;https://www.youtube.com/channel/UCPGY8eKRMvAqiGaPoQqfOIw;https://twitter.com/ufape_oficial;https://www.linkedin.com/in/ufape;null;https://www.instagram.com/ufape.oficial
UFBA;578;https://www.facebook.com/universidadefederaldabahiaempauta;null;https://twitter.com/ufbaempauta;null;null;https://www.instagram.com/ufbaempauta/
UFC;583;https://www.facebook.com/ufcinforma/;https://www.youtube.com/channel/UCY85wHK1Z3LJyKB7XQ-pJ0g;https://twitter.com/ufcinforma;https://www.linkedin.com/school/ufcinforma/;https://www.flickr.com/photos/ufc-informa;https://www.instagram.com/ufc_brasil/
UFCA;18759;https://pt-br.facebook.com/UniversidadeFederaldoCaririOficial/;https://www.youtube.com/channel/UC1fQfh24S6t8FDENFy7Osqg;null;https://www.linkedin.com/company/ufca/about/;https://www.flickr.com/photos/ufca;https://www.instagram.com/ufcaoficial/?hl=pt-br
UFCAT;25274;https://www.facebook.com/ufcatalao/;https://www.youtube.com/channel/UCRWsbImEI7dMOy4tyRYIdXQ;https://twitter.com/ufcatoficial;null;null;http://www.instagram.com/ufcatalao/
UFCG;2564;https://www.facebook.com/ufcgoficial/;null;https://twitter.com/ufcg_oficial;null;null;https://www.instagram.com/ufcg_oficial/
UFCSPA;717;https://www.facebook.com/ufcspa;https://youtube.com/ufcspa;https://www.twitter.com/ufcspa;https://www.linkedin.com/company/ufcspa/;null;https://www.instagram.com/ufcspaoficial
UFDPAR;25277;null;https://www.youtube.com/channel/UC3VCbPboLQLt-usXHkVm68Q;https://twitter.com/ufdpar;null;null;https://www.instagram.com/ufdpar.br/
UFERSA;589;https://facebook.com/ufersa;https://youtube.com/user/ufersaassecom;https://twitter.com/ufersa;null;null;https://instagram.com/ufersa
UFES;573;https://www.facebook.com/ufesoficial;null;https://twitter.com/ufesoficial;https://br.linkedin.com/company/ufesoficial;null;https://www.instagram.com/ufesoficial/
UFF;572;https://www.facebook.com/uffoficial;https://www.youtube.com/uniteveuff;https://twitter.com/uff_br;https://www.linkedin.com/school/30752/;https://www.flickr.com/photos/uffoficial;https://instagram.com/uffoficial
UFFS;15121;https://www.facebook.com/uffsonline;https://www.youtube.com/channel/UCbiA4gAEKnWZAp9AgD_-5xQ;https://twitter.com/uffsonline;null;null;https://instagram.com/escolhiseruffs
UFG;584;https://www.facebook.com/pages/universidade-federal-de-goi%c3%a1s/309079942482780?fref=ts;https://www.youtube.com/channel/UCVEN3bSdTJsYvDM0JfqerYA;https://twitter.com/ufg_oficial;https://www.linkedin.com/school/universidade-federal-de-goias/;https://www.flickr.com/photos/colacaoufg/;http://instagram.com/ufg_oficial
UFGD;4504;https://www.facebook.com/ufgdoficial;https://www.youtube.com/c/ufgdoficial;https://twitter.com/ufgdoficial;null;null;https://www.instagram.com/ufgdoficial/
UFJ;25282;https://www.facebook.com/ufjatai;https://www.youtube.com/channel/UCklii3asI9UbeTgFUvoCDAQ;https://twitter.com/ufj_oficial;null;null;https://www.instagram.com/ufj.oficial/?hl=pt-br
UFJF;576;http://facebook.com/ufjfoficial;https://www.youtube.com/tvufjf;https://twitter.com/ufjf_;null;null;http://instagram.com/ufjf
UFLA;592;https://www.facebook.com/eventosufla/;null;null;null;null;https://www.instagram.com/uflabr/?hl=pt-br
UFMA;548;https://www.facebook.com/ufmaoficial/;https://www.youtube.com/user/TVASCOMUFMA;https://twitter.com/UFMAoficial;null;null;https://www.instagram.com/ufmaoficial/
UFMG;575;https://www.facebook.com/ufmgbr;https://www.youtube.com/user/ufmg;https://twitter.com/ufmg;https://br.linkedin.com/edu/universidade-federal-de-minas-gerais-10671;https://www.flickr.com/photos/galeriaufmg/albums;https://www.instagram.com/ufmg
UFMS;694;https://www.facebook.com/ufmsbr;null;https://twitter.com/ufmsbr;null;null;https://www.instagram.com/ufmsoficial/
UFMT;1;https://pt-br.facebook.com/ufmatogrosso/;https://www.youtube.com/user/TVUUFMT;https://twitter.com/ufmt;null;null;https://www.instagram.com/ufmt.br/
UFNT;999918;https://www.facebook.com/UFNTOficial/;https://www.youtube.com/channel/UCHzqawxq5QQh_UMpUjSwpwQ;https://twitter.com/ufnttocantins;null;null;https://www.instagram.com/ufnt.oficial/
UFOB;18506;https://www.facebook.com/ufoboficial;https://www.youtube.com/channel/UC6jvFX7tb_BfIpXCekMSpoQ;null;null;https://www.flickr.com/photos/ufoboficial;https://www.instagram.com/ufoboficial/?hl=pt-br
UFOP;6;https://www.facebook.com/minhaufop;https://www.youtube.com/user/tvufop;https://twitter.com/ufop;https://www.linkedin.com/school/ufop/;https://www.flickr.com/photos/ufop/;https://www.instagram.com/minhaufop/
UFOPA;15059;https://www.facebook.com/ufopa;https://www.youtube.com/comunicaufopa/;https://twitter.com/ufopa;null;https://www.flickr.com/photos/132566521@N05/albums/;https://www.instagram.com/ufopaoficial/
UFPA;569;https://www.facebook.com/ufpaoficial/;https://www.youtube.com/tvufpa;https://twitter.com/ufpa_oficial?lang=pt;null;null;https://www.instagram.com/ufpa_oficial/
UFPB;579;http://facebook.com/ufpb-oficial;http://youtube.com/ufpboficial;https://twitter.com/ufpboficial;null;null;http://instagram.com/ufpb.oficial
UFPE;580;https://www.facebook.com/ufpeoficial/;https://www.youtube.com/user/ascomufpe/;null;null;null;https://www.instagram.com/ufpe.oficial/
UFPEL;634;https://www.facebook.com/ufpel;null;https://twitter.com/ufpel;null;null;https://www.instagram.com/ufpeloficial/
UFPI;5;https://www.facebook.com/ufpioficial;http://youtube.com/ufpitv;https://twitter.com/ufpioficial;null;http://flickr.com/ufpi;http://instagram.com/ufpi
UFPR;571;https://www.facebook.com/ufproficial;https://www.youtube.com/user/tvufpr;https://twitter.com/ufpr;null;https://www.flickr.com/ufpr;https://www.instagram.com/ufpr_oficial
UFR;25352;https://www.facebook.com/ufr.edu.br;https://www.youtube.com/channel/UC94jqxyB-F2D7Ddnl3pdMew;null;null;null;https://www.instagram.com/ufr.edu.br/
UFRA;590;https://www.facebook.com/ufraoficial/;https://www.youtube.com/user/ascomufra;https://twitter.com/ufraoficial;null;null;https://www.instagram.com/ufraoficial/
UFRB;4503;https://www.facebook.com/ufrb.edu;http://www.youtube.com/ufrb;http://twitter.com/ufrb;https://www.linkedin.com/company/ufrb;null;http://instagram.com/ufrb_edu
UFRGS;581;https://www.facebook.com/jornaldaufrgs/;http://www.youtube.com/user/ufrgstv;null;null;null;https://www.instagram.com/ufrgsnoticias/
